,location_easting_osgr,location_northing_osgr,longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions_5,light_conditions_6,light_conditions_7,weather_conditions_Fog or mist,weather_conditions_Raining + high winds,weather_conditions_Raining no high winds,weather_conditions_Snowing + high winds,weather_conditions_Snowing no high winds,road_surface_conditions_3,road_surface_conditions_4,road_surface_conditions_9,day,month
2628,536381,175877,-0.038064,51.46544,2,1,6,4,2142,6,20,3,4,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,3
2629,527891,194477,-0.153459,51.634574,1,1,5,5,0,6,30,6,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3
2630,526260,196391,-0.176323,51.652142,2,1,4,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2631,527465,195129,-0.159374,51.64053,2,1,6,6,0,6,20,99,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
2632,549484,174060,0.149662,51.445808,3,1,2,6,0,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
2633,553362,190797,0.212699,51.59515,3,2,4,5,0,6,30,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1
2634,537673,176801,-0.019117,51.473431,2,1,5,3,2,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2635,522457,190320,-0.233387,51.598423,2,1,3,3,41,3,50,5,4,6,0,0,5,0,0,0,0,0,0,0,0,0,1,0,17,1
2636,529830,181312,-0.130319,51.515822,1,1,7,3,40,6,20,6,2,3,400,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3
2637,516656,171178,-0.323429,51.427613,3,1,5,3,310,6,30,0,-1,0,-1,0,8,0,0,0,0,0,0,0,0,0,0,0,26,1
2638,518193,190067,-0.295005,51.597059,2,2,2,3,4140,3,40,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
